Ride,Date/Time,Wait Time
Haunted Mansion,2022-01-21 09:05:22,13
Haunted Mansion,2022-01-21 09:10:22,13
Haunted Mansion,2022-01-21 09:15:22,13
Haunted Mansion,2022-01-21 09:20:23,13
Haunted Mansion,2022-01-21 09:25:22,13
Haunted Mansion,2022-01-21 09:30:23,13
Haunted Mansion,2022-01-21 09:35:23,13
Haunted Mansion,2022-01-21 09:40:23,13
Haunted Mansion,2022-01-21 11:50:23,13
Haunted Mansion,2022-01-21 11:55:23,13
Haunted Mansion,2022-01-21 12:00:22,30
Haunted Mansion,2022-01-21 12:05:22,30
Haunted Mansion,2022-01-21 12:10:23,30
Haunted Mansion,2022-01-21 12:15:23,30
Haunted Mansion,2022-01-21 12:20:22,30
Haunted Mansion,2022-01-21 12:25:23,30
Haunted Mansion,2022-01-21 12:30:23,40
Haunted Mansion,2022-01-21 12:35:23,50
Haunted Mansion,2022-01-21 12:40:22,50
Haunted Mansion,2022-01-21 12:45:22,45
Haunted Mansion,2022-01-21 12:50:22,45
Haunted Mansion,2022-01-21 12:55:22,45
Haunted Mansion,2022-01-21 13:00:22,40
Haunted Mansion,2022-01-21 13:05:23,40
Haunted Mansion,2022-01-21 13:10:23,40
Haunted Mansion,2022-01-21 13:15:23,40
Haunted Mansion,2022-01-21 13:20:23,40
Haunted Mansion,2022-01-21 13:25:22,40
Haunted Mansion,2022-01-21 13:30:23,40
Haunted Mansion,2022-01-21 13:35:23,40
Haunted Mansion,2022-01-21 13:40:22,40
Haunted Mansion,2022-01-21 13:45:22,40
Haunted Mansion,2022-01-21 13:50:23,40
Haunted Mansion,2022-01-21 13:55:22,40
Haunted Mansion,2022-01-21 14:00:22,35
Haunted Mansion,2022-01-21 14:05:23,40
Haunted Mansion,2022-01-21 14:10:23,40
Haunted Mansion,2022-01-21 14:15:22,40
Haunted Mansion,2022-01-21 14:20:23,40
Haunted Mansion,2022-01-21 14:25:22,40
Haunted Mansion,2022-01-21 14:30:23,45
Haunted Mansion,2022-01-21 14:35:23,45
Haunted Mansion,2022-01-21 14:40:23,45
Haunted Mansion,2022-01-21 14:45:22,45
Haunted Mansion,2022-01-21 14:50:23,45
Haunted Mansion,2022-01-21 14:55:22,45
Haunted Mansion,2022-01-21 15:00:22,45
Haunted Mansion,2022-01-21 15:05:23,45
Haunted Mansion,2022-01-21 15:10:22,45
Haunted Mansion,2022-01-21 15:15:23,45
Haunted Mansion,2022-01-21 15:20:24,45
Haunted Mansion,2022-01-21 15:25:23,45
Haunted Mansion,2022-01-21 15:30:22,45
Haunted Mansion,2022-01-21 15:35:22,35
Haunted Mansion,2022-01-21 15:40:23,35
Haunted Mansion,2022-01-21 15:45:23,35
Haunted Mansion,2022-01-21 15:50:22,35
Haunted Mansion,2022-01-21 15:55:22,40
Haunted Mansion,2022-01-21 16:00:22,40
Haunted Mansion,2022-01-21 16:05:23,40
Haunted Mansion,2022-01-21 16:10:22,40
Haunted Mansion,2022-01-21 16:15:22,45
Haunted Mansion,2022-01-21 16:20:22,35
Haunted Mansion,2022-01-21 16:25:22,35
Haunted Mansion,2022-01-21 16:30:23,35
Haunted Mansion,2022-01-21 16:35:23,35
Haunted Mansion,2022-01-21 16:40:23,40
Haunted Mansion,2022-01-21 16:45:23,40
Haunted Mansion,2022-01-21 16:50:22,40
Haunted Mansion,2022-01-21 16:55:22,40
Haunted Mansion,2022-01-21 17:00:22,40
Haunted Mansion,2022-01-21 17:05:22,40
Haunted Mansion,2022-01-21 17:10:23,40
Haunted Mansion,2022-01-21 18:30:22,40
Haunted Mansion,2022-01-21 18:35:22,40
Haunted Mansion,2022-01-21 18:40:23,40
Haunted Mansion,2022-01-21 18:45:22,40
Haunted Mansion,2022-01-21 18:50:22,40
Haunted Mansion,2022-01-21 18:55:23,40
Haunted Mansion,2022-01-21 19:00:22,40
Haunted Mansion,2022-01-21 19:05:22,40
Haunted Mansion,2022-01-21 19:10:22,40
Haunted Mansion,2022-01-21 19:15:23,40
Haunted Mansion,2022-01-21 19:20:22,50
Haunted Mansion,2022-01-21 19:25:23,50
Haunted Mansion,2022-01-21 19:30:23,45
Haunted Mansion,2022-01-21 19:35:22,45
